fixture_id,B365H,B365D,B365A
314,8,5.25,1.4
315,2.05,3.3,4.2
316,2.1,3.5,3.75
317,5.5,4.4,1.61
318,5.75,4.4,1.6
319,1.22,7.5,14
320,1.5,4.75,7
321,1.75,3.9,5
322,1.7,3.9,5.5
323,2.35,3.5,3.2
324,1.7,3.75,5.75
325,1.5,4.75,7
326,2.87,3.4,2.62
327,5.75,3.8,1.7
328,3.1,3.4,2.45
329,1.25,6.5,15
330,10,6.25,1.3
331,2.25,3.4,3.5
332,3.1,3.5,2.37
333,1.83,3.5,5.25
334,1.95,3.8,4
335,1.44,5,7.5
336,3.75,3.4,2.15
337,5,3.5,1.85
338,1.9,3.5,4.6
339,3.25,3.5,2.3
340,2.3,3.5,3.25
341,2.15,3.3,3.9
342,1.9,3.7,4.33
343,1.28,6,12
344,1.16,9,19
345,13,7.5,1.22
346,1.85,3.4,5.25
347,2.8,3.3,2.75
348,6,4.2,1.61
349,6.5,4.5,1.53
350,1.45,4.5,8.5
351,2.05,3.7,3.75
352,2.55,3.3,3
353,2.15,3.5,3.6
354,1.5,4.33,8
355,2.4,3.6,3
356,3.6,3.5,2.15
357,1.55,4.2,7
358,1.83,3.6,5
359,3.4,3.3,2.35
360,1.57,4.5,6
361,1.16,8.5,21
362,1.16,9,19
363,2.8,3.25,2.8
364,4.5,3.8,1.85
365,2.05,3.6,3.8
366,2,3.3,4.5
367,3.1,3.4,2.45
368,4,3.8,1.95
369,12,7,1.25
370,7.5,5,1.44
371,1.45,5,7.5
372,2.25,3.5,3.4
373,1.55,4.2,7
374,2.9,3.5,2.55
375,1.36,5.25,9.5
376,2.55,3.2,3.1
377,3.2,3.25,2.45
378,9,4.5,1.44
379,1.45,4.4,9
380,21,11,1.12
381,1.85,3.8,4.5
382,1.61,4.2,6
383,1.44,4.75,8
384,2.55,3.5,2.9
385,2.1,3.6,3.75
386,1.33,5.75,9.5
387,3,3.75,2.35
388,5,4,1.72
389,1.06,17,34
390,2.6,3.25,3
391,9,5,1.4
392,1.28,6,13
393,1.72,4,5
394,4,3.6,2
395,2.3,3.4,3.4
396,1.9,3.6,4.5
397,11,6,1.3
398,5,4,1.75
399,1.66,4,5.75
400,1.66,4.2,5.25
401,1.4,5.25,8.5
402,2.6,3.25,3
403,1.22,7,15
404,3.2,3.75,2.25
405,1.53,4.6,6.5
406,1.65,4.4,5.25
407,17,7.5,1.2
408,1.25,6.25,15
409,3.25,3.5,2.3
410,4.4,3.9,1.85
411,1.3,6,11
412,2.55,3.2,3.1
413,3.3,3.5,2.3
414,1.75,3.5,6
415,2.3,3.2,3.6
416,23,9,1.14
417,2.62,3.5,2.8
418,2.4,3.6,3
419,2.75,3.6,2.6
420,1.07,15,41
421,2.7,3.5,2.7
422,1.9,3.9,4.1
423,1.4,5.5,7.5
424,2.62,3.3,2.9
425,1.4,5,9
426,4,4,1.9
427,2.6,3.75,2.7
428,1.4,5.25,8
429,1.66,4,5.75
430,11,6,1.3
431,1.12,8.5,17
432,9.5,5.25,1.36
433,2.3,3.75,3.1
434,1.53,4.2,7.5
435,19,8.5,1.16
436,3.25,3.8,2.2
437,1.9,4.2,3.8
438,2.5,3.6,2.9
439,2.4,3.75,2.9
440,1.3,6,11
441,1.28,6.5,11
442,1.44,4.75,8.5
443,2.2,3.5,3.5
444,2.25,3.75,3.2
445,3.6,3.3,2.25
446,2.6,3.3,3
447,1.5,4.75,7
448,2.6,3.4,2.87
449,2.75,3.25,2.8
450,2.75,3.2,2.87
451,1.9,3.6,4.5
452,1.44,4.5,9
453,2.2,3.4,3.6
454,2.25,3.4,3.5
455,2.75,3.3,2.8
456,2.75,3.3,2.8
457,2.25,3.3,3.6
458,2.54,3.3,3
459,2,3.5,4.1
460,2.54,3.25,3.1
461,3,3.3,2.6
462,2.14,3.5,3.7
463,1.72,3.6,6
464,2.75,3.3,2.8
465,1.66,3.8,6
466,2.87,3.4,2.62
467,2.4,3.3,3.25
468,2.37,3.3,3.3
469,2.3,3.5,3.3
470,2.45,3.3,3.2
471,3.1,3.3,2.5
472,1.53,4.2,7.5
473,2.9,3.4,2.6
474,2.4,3.4,3.2
475,3.9,3.4,2.1
476,1.44,4.75,8
477,2.4,3.3,3.3
478,2.5,3.3,3.1
479,2.1,3.4,4
480,2.1,3.5,3.75
481,1.66,3.8,6
482,2.5,3.4,3
483,2.54,3.5,2.9
484,1.9,3.4,4.75
485,2.54,3.3,3
486,3.1,3.3,2.5
487,3.1,3.3,2.5
488,1.72,3.75,5.5
489,2.4,3.4,3.2
490,3.2,3.5,2.35
491,3.1,3.1,2.62
492,2.14,3.4,3.75
493,1.61,3.9,6.5
494,2.9,3.5,2.54
495,3.9,3.4,2.1
496,2.45,3.3,3.2
497,2.5,3.3,3.1
498,2.75,3.4,2.7
499,1.85,3.5,5
500,3.25,3.6,2.25
501,3.6,3.4,2.2
502,2.5,3,3.4
503,2,3.4,4.33
504,2.25,3.4,3.5
505,2,3.5,4.2
506,1.9,3.75,4.33
507,2.37,3.25,3.4
508,2.9,3.3,2.62
509,3,3.25,2.6
510,2.2,3.5,3.5
511,2.2,3.3,3.75
512,1.6,3.9,7
513,2.37,3.25,3.4
514,2.4,3.25,3.3
515,2.04,3.5,4
516,1.57,4.2,6.5
517,3.7,3.3,2.2
518,2.8,3.3,2.75
519,2.75,3.4,2.75
520,1.8,4,4.5
521,2.75,3.4,2.75
522,2.3,3.3,3.5
523,3,3.4,2.5
524,3.1,3.25,2.54
525,1.9,3.4,4.75
526,3.8,3.4,2.14
527,3,3.4,2.5
528,2.3,3.4,3.4
529,2.25,3.3,3.6
530,2,3.4,4.33
531,1.9,3.5,4.6
532,1.95,3.5,4.33
533,2,3.5,4.1
534,1.5,4.5,7.5
535,4.6,3.75,1.83
536,1.44,4.5,9
537,1.95,3.6,4.2
538,2.54,3.2,3.1
539,3,3.3,2.6
540,1.85,3.6,4.75
541,1.57,4.33,6.5
542,3.25,3.5,2.3
543,2,3.4,4.33
544,1.8,3.75,5
545,1.7,3.8,5.75
546,1.64,4,6
547,2.5,3.4,3
548,2.5,3.3,3.1
549,1.85,3.75,4.5
550,2.04,3.3,4.2
551,1.72,4,5
552,2.3,3.5,3.3
553,2.54,3.5,2.9
554,3.6,3.5,2.14
555,1.4,4.75,10
556,2.2,3.4,3.6
557,3.1,3.3,2.5
558,1.9,3.5,4.6
559,3.3,3.3,2.37
560,3,3.2,2.62
561,1.95,3.5,4.33
562,2.45,3.4,3.1
563,2.8,3.4,2.7
564,2.45,3.3,3.2
565,1.95,3.3,4.75
566,2.35,3.25,3.4
567,4,3.3,2.1
568,1.5,4.5,7.5
569,2.5,3.4,3
